"","from","to","Carrier","Departures","Seats","Passengers","Aircraft","Distance"
"1","BGR","JFK","British Airways Plc",1,226,193,627,382
"2","BGR","JFK","British Airways Plc",1,299,253,819,382
"3","BOS","EWR","British Airways Plc",1,216,141,627,200
"4","ANC","JFK","China Airlines Ltd.",13,5161,3135,819,3386
"5","JFK","ANC","China Airlines Ltd.",13,5161,4097,819,3386
"6","LAS","LAX","Korean Air Lines Co. Ltd.",14,3654,1353,627,236
"7","MIA","JFK","Lan Ecuador",1,204,183,626,1090
"8","EWR","ANC","Eva Airways Corporation",18,5718,4818,627,3370
"9","BJC","MIA","G5 Executive Ag",1,14,2,667,1732
"10","MIA","BJC","G5 Executive Ag",1,14,1,667,1732
"11","TEB","ANC","G5 Executive Ag",1,14,2,667,3365
"12","JFK","LAX","Qantas Airways Ltd.",27,6340,4645,696,2475
"13","LAX","JFK","Qantas Airways Ltd.",27,6337,4117,696,2475
"14","LAX","SFO","Cathay Pacific Airways Ltd.",1,378,341,819,337
"15","AEX","LAS","London Air Services Limited",1,9,1,686,1340
"16","BFI","SBA","London Air Services Limited",1,9,6,686,913
"17","ELM","PIT","London Air Services Limited",1,12,4,669,208
"18","GEG","SUN","London Air Services Limited",2,18,9,686,324
"19","ICT","PBI","London Air Services Limited",1,9,5,686,1263
"20","LAS","LAX","London Air Services Limited",1,9,1,686,236
"21","LAS","PBI","London Air Services Limited",1,9,1,686,2158
"22","LAS","SFO","London Air Services Limited",1,9,4,686,414
"23","LAX","LAS","London Air Services Limited",1,9,1,686,236
"24","PBI","AEX","London Air Services Limited",1,9,1,686,818
"25","PBI","ICT","London Air Services Limited",1,9,4,686,1263
"26","PIT","VCT","London Air Services Limited",1,12,5,669,1240
"27","SFO","LAX","London Air Services Limited",1,9,2,686,337
"28","VCT","DWH","London Air Services Limited",1,12,5,669,117
"29","IAD","JFK","Virgin Atlantic Airways",1,367,289,819,228
"30","ABE","CLT","PSA Airlines Inc.",20,1000,789,629,481
"31","ABE","HPN","PSA Airlines Inc.",1,50,16,629,95
"32","AGS","CLT","PSA Airlines Inc.",109,5450,4384,629,140
"33","AGS","CLT","PSA Airlines Inc.",1,70,54,631,140
"34","AVL","CLT","PSA Airlines Inc.",103,5150,4208,629,92
"35","AVL","CLT","PSA Airlines Inc.",11,770,642,631,92
"36","AVP","CLT","PSA Airlines Inc.",31,2170,1959,631,509
"37","AVP","PHL","PSA Airlines Inc.",5,250,227,629,105
"38","BDL","CLT","PSA Airlines Inc.",4,200,89,629,644
"39","BHM","CLT","PSA Airlines Inc.",54,2700,2328,629,351
"40","BHM","CLT","PSA Airlines Inc.",108,7560,6302,631,351
"41","BNA","CLT","PSA Airlines Inc.",6,300,277,629,329
"42","BNA","CLT","PSA Airlines Inc.",10,700,550,631,329
"43","BNA","DCA","PSA Airlines Inc.",61,3050,2256,629,562
"44","BNA","PHL","PSA Airlines Inc.",54,2700,2442,629,675
"45","BTR","CLT","PSA Airlines Inc.",77,3850,2976,629,675
"46","BUF","CLT","PSA Airlines Inc.",28,1400,1283,629,546
"47","BUF","DCA","PSA Airlines Inc.",25,1250,719,629,296
"48","BUF","PHL","PSA Airlines Inc.",2,100,77,629,279
"49","BWI","PHL","PSA Airlines Inc.",77,3850,3239,629,90
"50","CAE","CLT","PSA Airlines Inc.",11,550,361,629,88
"51","CAE","CLT","PSA Airlines Inc.",3,210,187,631,88
"52","CAE","DCA","PSA Airlines Inc.",29,1450,743,629,408
"53","CAK","CLT","PSA Airlines Inc.",121,6050,5008,629,394
"54","CAK","CLT","PSA Airlines Inc.",25,1750,1354,631,394
"55","CAK","DCA","PSA Airlines Inc.",31,1550,851,629,274
"56","CAK","PHL","PSA Airlines Inc.",52,2600,2053,629,335
"57","CHA","CLT","PSA Airlines Inc.",64,3200,2513,629,242
"58","CHA","DCA","PSA Airlines Inc.",25,1250,639,629,523
"59","CHO","CLT","PSA Airlines Inc.",30,1500,1078,629,245
"60","CHS","CLT","PSA Airlines Inc.",2,100,88,629,168
"61","CHS","CLT","PSA Airlines Inc.",8,560,331,631,168
"62","CHS","DCA","PSA Airlines Inc.",4,200,157,629,444
"63","CLE","CLT","PSA Airlines Inc.",4,200,144,629,430
"64","CLE","CLT","PSA Airlines Inc.",1,70,45,631,430
"65","CLE","PHL","PSA Airlines Inc.",2,100,48,629,363
"66","CLT","ABE","PSA Airlines Inc.",20,1000,898,629,481
"67","CLT","AGS","PSA Airlines Inc.",108,5400,4242,629,140
"68","CLT","AGS","PSA Airlines Inc.",1,70,56,631,140
"69","CLT","AVL","PSA Airlines Inc.",104,5200,4066,629,92
"70","CLT","AVL","PSA Airlines Inc.",10,700,576,631,92
"71","CLT","AVP","PSA Airlines Inc.",31,2170,1826,631,509
"72","CLT","BDL","PSA Airlines Inc.",4,200,165,629,644
"73","CLT","BHM","PSA Airlines Inc.",53,2650,2001,629,351
"74","CLT","BHM","PSA Airlines Inc.",112,7840,6179,631,351
"75","CLT","BNA","PSA Airlines Inc.",6,300,212,629,329
"76","CLT","BNA","PSA Airlines Inc.",10,700,544,631,329
"77","CLT","BTR","PSA Airlines Inc.",77,3850,2847,629,675
"78","CLT","BUF","PSA Airlines Inc.",27,1350,1221,629,546
"79","CLT","BWI","PSA Airlines Inc.",27,1350,1070,629,361
"80","CLT","CAE","PSA Airlines Inc.",31,1550,1241,629,88
"81","CLT","CAE","PSA Airlines Inc.",3,210,128,631,88
"82","CLT","CAK","PSA Airlines Inc.",121,6050,5120,629,394
"83","CLT","CAK","PSA Airlines Inc.",25,1750,1391,631,394
"84","CLT","CHA","PSA Airlines Inc.",64,3200,2318,629,242
"85","CLT","CHO","PSA Airlines Inc.",30,1500,1156,629,245
"86","CLT","CHS","PSA Airlines Inc.",2,100,44,629,168
"87","CLT","CHS","PSA Airlines Inc.",8,560,339,631,168
"88","CLT","CLE","PSA Airlines Inc.",4,200,171,629,430
"89","CLT","CLE","PSA Airlines Inc.",1,70,46,631,430
"90","CLT","CMH","PSA Airlines Inc.",2,100,87,629,346
"91","CLT","CMH","PSA Airlines Inc.",34,2380,1449,631,346
"92","CLT","CRW","PSA Airlines Inc.",82,4100,2826,629,221
"93","CLT","CVG","PSA Airlines Inc.",19,950,668,629,335
"94","CLT","CVG","PSA Airlines Inc.",27,1890,1451,631,335
"95","CLT","DAB","PSA Airlines Inc.",7,350,318,629,416
"96","CLT","DAB","PSA Airlines Inc.",76,5320,4684,631,416
"97","CLT","DAY","PSA Airlines Inc.",82,4100,2962,629,370
"98","CLT","DAY","PSA Airlines Inc.",87,6090,4792,631,370
"99","CLT","DCA","PSA Airlines Inc.",17,850,290,629,331
"100","CLT","DTW","PSA Airlines Inc.",4,200,197,629,500
"101","CLT","DTW","PSA Airlines Inc.",8,560,502,631,500
"102","CLT","EWN","PSA Airlines Inc.",63,3150,2322,629,221
"103","CLT","EWN","PSA Airlines Inc.",1,70,57,631,221
"104","CLT","FAY","PSA Airlines Inc.",25,1250,960,629,118
"105","CLT","FAY","PSA Airlines Inc.",58,4060,2795,631,118
"106","CLT","GNV","PSA Airlines Inc.",115,5750,4554,629,389
"107","CLT","GNV","PSA Airlines Inc.",1,70,66,631,389
"108","CLT","GPT","PSA Airlines Inc.",67,3350,2889,629,577
"109","CLT","GPT","PSA Airlines Inc.",22,1540,991,631,577
"110","CLT","GSO","PSA Airlines Inc.",16,800,535,629,83
"111","CLT","GSO","PSA Airlines Inc.",16,1120,848,631,83
"112","CLT","GSP","PSA Airlines Inc.",5,250,152,629,75
"113","CLT","HPN","PSA Airlines Inc.",50,2500,2207,629,564
"114","CLT","HPN","PSA Airlines Inc.",1,70,35,631,564
"115","CLT","HSV","PSA Airlines Inc.",46,2300,1837,629,333
"116","CLT","HSV","PSA Airlines Inc.",42,2940,2123,631,333
"117","CLT","IAD","PSA Airlines Inc.",5,250,202,629,321
"118","CLT","IAD","PSA Airlines Inc.",23,1610,1297,631,321
"119","CLT","ILM","PSA Airlines Inc.",3,150,75,629,185
"120","CLT","ILM","PSA Airlines Inc.",50,3500,2675,631,185
"121","CLT","IND","PSA Airlines Inc.",36,1800,1523,629,428
"122","CLT","IND","PSA Airlines Inc.",29,2030,1627,631,428
"123","CLT","JAN","PSA Airlines Inc.",101,5050,3684,629,562
"124","CLT","LEX","PSA Airlines Inc.",35,1750,1187,629,282
"125","CLT","LGA","PSA Airlines Inc.",41,2050,1624,629,544
