"","name","City","Position"
"BGR","BGR","Bangor, ME","N444827 W0684941"
"BOS","BOS","Boston, MA","N422152 W0710019"
"ANC","ANC","Anchorage, AK","N611028 W1495947"
"JFK","JFK","New York, NY","N403823 W0734644"
"LAS","LAS","Las Vegas, NV","N360449 W1150908"
"MIA","MIA","Miami, FL","N254736 W0801726"
"EWR","EWR","Newark, NJ","N404133 W0741007"
"BJC","BJC","Broomfield, CO","N395432 W1050702"
"TEB","TEB","Teterboro, NJ","N405100 W0740339"
"LAX","LAX","Los Angeles, CA","N335633 W1182429"
"AEX","AEX","Alexandria, LA","N311939 W0923255"
"BFI","BFI","Seattle, WA","N473148 W1221807"
"ELM","ELM","Elmira/Corning, NY","N420936 W0765329"
"GEG","GEG","Spokane, WA","N473712 W1173202"
"ICT","ICT","Wichita, KS","N373860 W0972559"
"PBI","PBI","West Palm Beach/Palm Beach, FL","N264059 W0800544"
"PIT","PIT","Pittsburgh, PA","N402929 W0801358"
"SFO","SFO","San Francisco, CA","N373708 W1222230"
"VCT","VCT","Victoria, TX","N285109 W0965507"
"IAD","IAD","Washington, DC","N385640 W0772721"
"ABE","ABE","Allentown/Bethlehem/Easton, PA","N403909 W0752625"
"AGS","AGS","Augusta, GA","N332212 W0815752"
"AVL","AVL","Asheville, NC","N352610 W0823230"
"AVP","AVP","Scranton/Wilkes-Barre, PA","N412017 W0754327"
"BDL","BDL","Hartford, CT","N415620 W0724060"
"BHM","BHM","Birmingham, AL","N333347 W0864513"
"BNA","BNA","Nashville, TN","N360728 W0864041"
"BTR","BTR","Baton Rouge, LA","N303159 W0910859"
"BUF","BUF","Buffalo, NY","N425626 W0784356"
"BWI","BWI","Baltimore, MD","N391031 W0764006"
"CAE","CAE","Columbia, SC","N335620 W0810710"
"CAK","CAK","Akron, OH","N405459 W0812633"
"CHA","CHA","Chattanooga, TN","N350207 W0851214"
"CHO","CHO","Charlottesville, VA","N380819 W0782710"
"CHS","CHS","Charleston, SC","N325355 W0800226"
"CLE","CLE","Cleveland, OH","N412439 W0815058"
"CLT","CLT","Charlotte, NC","N351250 W0805635"
"CMH","CMH","Columbus, OH","N395953 W0825331"
"CRW","CRW","Charleston/Dunbar, WV","N382223 W0813535"
"CVG","CVG","Cincinnati, OH","N390246 W0843944"
"DAB","DAB","Daytona Beach, FL","N291048 W0810329"
"DAY","DAY","Dayton, OH","N395409 W0841310"
"DCA","DCA","Washington, DC","N385108 W0770216"
"DTW","DTW","Detroit, MI","N421245 W0832112"
"EWN","EWN","New Bern/Morehead/Beaufort, NC","N350423 W0770235"
"FAY","FAY","Fayetteville, NC","N345928 W0785249"
"GNV","GNV","Gainesville, FL","N294124 W0821618"
"GPT","GPT","Gulfport/Biloxi, MS","N302426 W0890412"
"GSO","GSO","Greensboro/High Point, NC","N360552 W0795614"
"GSP","GSP","Greenville/Spartanburg, SC","N345344 W0821308"
"HPN","HPN","White Plains, NY","N410401 W0734227"
"HSV","HSV","Huntsville, AL","N343826 W0864623"
"ILM","ILM","Wilmington, NC","N341614 W0775409"
"IND","IND","Indianapolis, IN","N394302 W0861740"
"JAN","JAN","Jackson/Vicksburg, MS","N321840 W0900433"
"LEX","LEX","Lexington, KY","N380213 W0843619"
"LGA","LGA","New York, NY","N404638 W0735221"
"LIT","LIT","Little Rock, AR","N344346 W0921328"
"MDT","MDT","Harrisburg, PA","N401137 W0764548"
"MGM","MGM","Montgomery, AL","N321802 W0862338"
"MKE","MKE","Milwaukee, WI","N425650 W0875348"
"MLB","MLB","Melbourne, FL","N280610 W0803845"
"MOB","MOB","Mobile, AL","N304129 W0881434"
"MSP","MSP","Minneapolis, MN","N445250 W0931301"
"MSY","MSY","New Orleans, LA","N295936 W0901529"
"MYR","MYR","Myrtle Beach, SC","N334047 W0785542"
"OAJ","OAJ","Jacksonville/Camp Lejeune, NC","N344945 W0773644"
"ORF","ORF","Norfolk, VA","N365341 W0761204"
"PGV","PGV","Greenville, NC","N353807 W0772307"
"PHF","PHF","Newport News/Williamsburg, VA","N370755 W0762935"
"PHL","PHL","Philadelphia, PA","N395219 W0751428"
"PNS","PNS","Pensacola, FL","N302824 W0871115"
"PWM","PWM","Portland, ME","N433846 W0701832"
"RDU","RDU","Raleigh/Durham, NC","N355240 W0784715"
"RIC","RIC","Richmond, VA","N373019 W0771911"
"ROA","ROA","Roanoke, VA","N371932 W0795832"
"SAV","SAV","Savannah, GA","N320739 W0811208"
"SDF","SDF","Louisville, KY","N381028 W0854410"
"SRQ","SRQ","Sarasota/Bradenton, FL","N272344 W0823316"
